"	date",id_station,id_parameter,value,unit
01/01/15,ACO,SO2,4,1
01/01/15,ATI,SO2,6,1
01/01/15,CAM,SO2,19,1
01/01/15,CHO,SO2,1,1
01/01/15,CUA,SO2,5,1
01/01/15,CUT,SO2,4,1
01/01/15,FAC,SO2,6,1
01/01/15,HGM,SO2,19,1
01/01/15,IZT,SO2,19,1
01/01/15,LLA,SO2,26,1
01/01/15,MER,SO2,19,1
01/01/15,NEZ,SO2,16,1
01/01/15,PED,SO2,6,1
01/01/15,SAG,SO2,22,1
01/01/15,SFE,SO2,5,1
01/01/15,SJA,SO2,13,1
01/01/15,SUR,SO2,10,1
01/01/15,TAH,SO2,5,1
01/01/15,TLA,SO2,13,1
01/01/15,TLI,SO2,22,1
01/01/15,TPN,SO2,3,1
01/01/15,UAX,SO2,7,1
01/01/15,UIZ,SO2,14,1
01/01/15,VIF,SO2,26,1
01/01/15,XAL,SO2,15,1
01/01/15,CCA,SO2,4,1
01/01/15,MGH,SO2,9,1
01/01/15,AJM,SO2,7,1
02/01/15,ACO,SO2,1,1
02/01/15,ATI,SO2,1,1
02/01/15,CAM,SO2,3,1
02/01/15,CHO,SO2,2,1
02/01/15,CUA,SO2,1,1
02/01/15,CUT,SO2,1,1
02/01/15,FAC,SO2,3,1
02/01/15,HGM,SO2,2,1
02/01/15,IZT,SO2,2,1
02/01/15,LLA,SO2,2,1
02/01/15,MER,SO2,3,1
02/01/15,NEZ,SO2,1,1
02/01/15,PED,SO2,2,1
02/01/15,SAG,SO2,3,1
02/01/15,SFE,SO2,1,1
02/01/15,SJA,SO2,4,1
02/01/15,SUR,SO2,2,1
02/01/15,TAH,SO2,1,1
02/01/15,TLA,SO2,3,1
02/01/15,TLI,SO2,2,1
02/01/15,TPN,SO2,0,1
02/01/15,UAX,SO2,0,1
02/01/15,UIZ,SO2,2,1
02/01/15,VIF,SO2,2,1
02/01/15,XAL,SO2,4,1
02/01/15,CCA,SO2,1,1
02/01/15,MGH,SO2,1,1
02/01/15,AJM,SO2,1,1
03/01/15,ACO,SO2,1,1
03/01/15,ATI,SO2,1,1
03/01/15,CAM,SO2,3,1
03/01/15,CHO,SO2,1,1
03/01/15,CUA,SO2,1,1
03/01/15,CUT,SO2,1,1
03/01/15,FAC,SO2,2,1
03/01/15,HGM,SO2,2,1
03/01/15,IZT,SO2,1,1
03/01/15,LLA,SO2,1,1
03/01/15,MER,SO2,2,1
03/01/15,NEZ,SO2,1,1
03/01/15,PED,SO2,2,1
03/01/15,SAG,SO2,1,1
03/01/15,SFE,SO2,1,1
03/01/15,SJA,SO2,3,1
03/01/15,SUR,SO2,1,1
03/01/15,TAH,SO2,1,1
03/01/15,TLA,SO2,3,1
03/01/15,TLI,SO2,1,1
03/01/15,TPN,SO2,1,1
03/01/15,UAX,SO2,0,1
03/01/15,UIZ,SO2,1,1
03/01/15,VIF,SO2,2,1
03/01/15,XAL,SO2,3,1
03/01/15,CCA,SO2,1,1
03/01/15,MGH,SO2,1,1
03/01/15,AJM,SO2,1,1
04/01/15,ACO,SO2,1,1
04/01/15,ATI,SO2,1,1
04/01/15,CAM,SO2,2,1
04/01/15,CHO,SO2,1,1
04/01/15,CUA,SO2,2,1
04/01/15,CUT,SO2,2,1
04/01/15,FAC,SO2,2,1
04/01/15,HGM,SO2,2,1
04/01/15,IZT,SO2,2,1
04/01/15,LLA,SO2,2,1
04/01/15,MER,SO2,2,1
04/01/15,NEZ,SO2,1,1
04/01/15,PED,SO2,2,1
04/01/15,SAG,SO2,4,1
04/01/15,SFE,SO2,2,1
04/01/15,SJA,SO2,3,1
04/01/15,SUR,SO2,2,1
04/01/15,TAH,SO2,1,1
04/01/15,TLA,SO2,4,1
04/01/15,TLI,SO2,2,1
04/01/15,TPN,SO2,1,1
04/01/15,UAX,SO2,2,1
04/01/15,UIZ,SO2,2,1
04/01/15,VIF,SO2,2,1
04/01/15,XAL,SO2,3,1
04/01/15,CCA,SO2,1,1
04/01/15,MGH,SO2,1,1
04/01/15,AJM,SO2,1,1
05/01/15,ACO,SO2,0,1
05/01/15,ATI,SO2,11,1
05/01/15,CAM,SO2,10,1
05/01/15,CHO,SO2,5,1
05/01/15,CUA,SO2,6,1
05/01/15,CUT,SO2,27,1
05/01/15,FAC,SO2,9,1
05/01/15,HGM,SO2,9,1
05/01/15,IZT,SO2,8,1
05/01/15,LLA,SO2,10,1
05/01/15,MER,SO2,9,1
05/01/15,NEZ,SO2,4,1
05/01/15,PED,SO2,7,1
05/01/15,SAG,SO2,8,1
05/01/15,SFE,SO2,6,1
05/01/15,SJA,SO2,7,1
05/01/15,SUR,SO2,6,1
05/01/15,TAH,SO2,5,1
05/01/15,TLA,SO2,11,1
05/01/15,TLI,SO2,14,1
05/01/15,TPN,SO2,3,1
05/01/15,UAX,SO2,7,1
05/01/15,UIZ,SO2,8,1
05/01/15,VIF,SO2,21,1
05/01/15,XAL,SO2,4,1
05/01/15,CCA,SO2,6,1
05/01/15,MGH,SO2,7,1
05/01/15,AJM,SO2,5,1
06/01/15,ACO,SO2,4,1
06/01/15,ATI,SO2,5,1
06/01/15,CAM,SO2,6,1
06/01/15,CHO,SO2,2,1
06/01/15,CUA,SO2,3,1
06/01/15,CUT,SO2,4,1
06/01/15,FAC,SO2,5,1
06/01/15,HGM,SO2,5,1
06/01/15,IZT,SO2,4,1
06/01/15,LLA,SO2,5,1
06/01/15,MER,SO2,4,1
06/01/15,NEZ,SO2,3,1
06/01/15,PED,SO2,4,1
06/01/15,SAG,SO2,6,1
06/01/15,SFE,SO2,3,1
06/01/15,SJA,SO2,3,1
06/01/15,SUR,SO2,3,1
06/01/15,TAH,SO2,3,1
06/01/15,TLA,SO2,9,1
06/01/15,TLI,SO2,5,1
06/01/15,TPN,SO2,2,1
06/01/15,UAX,SO2,3,1
06/01/15,UIZ,SO2,3,1
06/01/15,VIF,SO2,8,1
06/01/15,XAL,SO2,4,1
06/01/15,CCA,SO2,2,1
06/01/15,MGH,SO2,3,1
06/01/15,AJM,SO2,2,1
07/01/15,ACO,SO2,0,1
07/01/15,ATI,SO2,3,1
07/01/15,CAM,SO2,2,1
07/01/15,CHO,SO2,1,1
07/01/15,CUA,SO2,2,1
07/01/15,CUT,SO2,3,1
07/01/15,FAC,SO2,3,1
07/01/15,HGM,SO2,3,1
07/01/15,IZT,SO2,2,1
07/01/15,LLA,SO2,1,1
07/01/15,MER,SO2,2,1
07/01/15,NEZ,SO2,1,1
07/01/15,PED,SO2,3,1
07/01/15,SAG,SO2,3,1
07/01/15,SFE,SO2,2,1
07/01/15,SJA,SO2,2,1
07/01/15,SUR,SO2,3,1
07/01/15,TAH,SO2,2,1
07/01/15,TLA,SO2,6,1
07/01/15,TLI,SO2,3,1
07/01/15,TPN,SO2,2,1
07/01/15,UAX,SO2,4,1
07/01/15,UIZ,SO2,1,1
07/01/15,VIF,SO2,2,1
07/01/15,CCA,SO2,2,1
07/01/15,MGH,SO2,2,1
07/01/15,AJM,SO2,2,1
08/01/15,ACO,SO2,0,1
08/01/15,ATI,SO2,3,1
08/01/15,CAM,SO2,3,1
08/01/15,CHO,SO2,1,1
08/01/15,CUA,SO2,2,1
08/01/15,CUT,SO2,2,1
08/01/15,FAC,SO2,3,1
08/01/15,HGM,SO2,3,1
08/01/15,IZT,SO2,2,1
08/01/15,LLA,SO2,1,1
08/01/15,NEZ,SO2,1,1
08/01/15,PED,SO2,2,1
08/01/15,SAG,SO2,2,1
08/01/15,SFE,SO2,1,1
08/01/15,SJA,SO2,2,1
08/01/15,SUR,SO2,2,1
08/01/15,TAH,SO2,1,1
08/01/15,TLA,SO2,6,1
08/01/15,TLI,SO2,3,1
08/01/15,UAX,SO2,2,1
08/01/15,UIZ,SO2,2,1
08/01/15,VIF,SO2,2,1
08/01/15,CCA,SO2,1,1
08/01/15,MGH,SO2,2,1
08/01/15,AJM,SO2,0,1
09/01/15,ACO,SO2,1,1
09/01/15,ATI,SO2,2,1
09/01/15,CAM,SO2,4,1
09/01/15,CHO,SO2,2,1
09/01/15,CUA,SO2,2,1
09/01/15,CUT,SO2,2,1
09/01/15,FAC,SO2,3,1
09/01/15,HGM,SO2,3,1
09/01/15,IZT,SO2,4,1
09/01/15,LLA,SO2,2,1
09/01/15,MER,SO2,4,1
09/01/15,NEZ,SO2,2,1
09/01/15,PED,SO2,3,1
09/01/15,SAG,SO2,4,1
09/01/15,SFE,SO2,2,1
09/01/15,SJA,SO2,4,1
09/01/15,SUR,SO2,3,1
09/01/15,TAH,SO2,2,1
09/01/15,TLA,SO2,6,1
09/01/15,TLI,SO2,5,1
09/01/15,UAX,SO2,3,1
09/01/15,UIZ,SO2,3,1
09/01/15,VIF,SO2,2,1
09/01/15,CCA,SO2,2,1
09/01/15,MGH,SO2,2,1
09/01/15,AJM,SO2,2,1
10/01/15,ACO,SO2,1,1
10/01/15,ATI,SO2,3,1
10/01/15,CAM,SO2,4,1
10/01/15,CHO,SO2,2,1
10/01/15,CUA,SO2,2,1
10/01/15,CUT,SO2,2,1
10/01/15,FAC,SO2,4,1
10/01/15,HGM,SO2,4,1
10/01/15,IZT,SO2,3,1
10/01/15,LLA,SO2,2,1
10/01/15,MER,SO2,3,1
10/01/15,NEZ,SO2,1,1
10/01/15,PED,SO2,3,1
10/01/15,SAG,SO2,3,1
10/01/15,SFE,SO2,2,1
10/01/15,SJA,SO2,3,1
10/01/15,SUR,SO2,3,1
10/01/15,TAH,SO2,2,1
10/01/15,TLA,SO2,6,1
10/01/15,TLI,SO2,3,1
10/01/15,TPN,SO2,1,1
10/01/15,UAX,SO2,3,1
10/01/15,UIZ,SO2,3,1
10/01/15,VIF,SO2,2,1
10/01/15,CCA,SO2,2,1
10/01/15,MGH,SO2,3,1
10/01/15,AJM,SO2,2,1
11/01/15,ACO,SO2,2,1
11/01/15,ATI,SO2,3,1
11/01/15,CAM,SO2,4,1
11/01/15,CHO,SO2,2,1
11/01/15,CUA,SO2,3,1
11/01/15,CUT,SO2,2,1
11/01/15,FAC,SO2,4,1
11/01/15,HGM,SO2,4,1
11/01/15,IZT,SO2,4,1
11/01/15,LLA,SO2,3,1
11/01/15,MER,SO2,4,1
11/01/15,NEZ,SO2,3,1
11/01/15,PED,SO2,3,1
11/01/15,SAG,SO2,3,1
11/01/15,SFE,SO2,2,1
11/01/15,SJA,SO2,3,1
11/01/15,SUR,SO2,3,1
11/01/15,TAH,SO2,3,1
11/01/15,TLA,SO2,6,1
11/01/15,TLI,SO2,3,1
11/01/15,TPN,SO2,2,1
11/01/15,UAX,SO2,3,1
11/01/15,UIZ,SO2,4,1
11/01/15,VIF,SO2,2,1
11/01/15,CCA,SO2,2,1
11/01/15,MGH,SO2,3,1
11/01/15,AJM,SO2,4,1
12/01/15,ACO,SO2,1,1
12/01/15,ATI,SO2,4,1
12/01/15,CAM,SO2,5,1
12/01/15,CHO,SO2,2,1
12/01/15,CUA,SO2,3,1
12/01/15,CUT,SO2,2,1
12/01/15,FAC,SO2,4,1
12/01/15,HGM,SO2,4,1
12/01/15,IZT,SO2,4,1
12/01/15,LLA,SO2,2,1
12/01/15,MER,SO2,4,1
12/01/15,NEZ,SO2,2,1
12/01/15,PED,SO2,3,1
12/01/15,SAG,SO2,2,1
12/01/15,SFE,SO2,2,1
12/01/15,SJA,SO2,3,1
12/01/15,SUR,SO2,2,1
12/01/15,TAH,SO2,2,1
12/01/15,TLA,SO2,7,1
12/01/15,TLI,SO2,2,1
12/01/15,TPN,SO2,1,1
12/01/15,UAX,SO2,3,1
12/01/15,UIZ,SO2,3,1
12/01/15,VIF,SO2,2,1
12/01/15,CCA,SO2,2,1
12/01/15,MGH,SO2,3,1
12/01/15,AJM,SO2,2,1
13/01/15,ACO,SO2,2,1
13/01/15,ATI,SO2,12,1
13/01/15,CAM,SO2,10,1
13/01/15,CHO,SO2,2,1
13/01/15,CUA,SO2,3,1
13/01/15,CUT,SO2,9,1
13/01/15,FAC,SO2,10,1
13/01/15,HGM,SO2,9,1
13/01/15,IZT,SO2,6,1
13/01/15,LLA,SO2,9,1
13/01/15,MER,SO2,6,1
13/01/15,NEZ,SO2,4,1
13/01/15,PED,SO2,4,1
13/01/15,SAG,SO2,8,1
13/01/15,SFE,SO2,2,1
13/01/15,SJA,SO2,4,1
13/01/15,SUR,SO2,2,1
13/01/15,TAH,SO2,3,1
13/01/15,TLA,SO2,12,1
13/01/15,TLI,SO2,9,1
13/01/15,TPN,SO2,1,1
13/01/15,UAX,SO2,6,1
13/01/15,UIZ,SO2,5,1
13/01/15,VIF,SO2,12,1
13/01/15,CCA,SO2,4,1
13/01/15,MGH,SO2,7,1
13/01/15,AJM,SO2,3,1
14/01/15,ACO,SO2,2,1
14/01/15,ATI,SO2,9,1
14/01/15,CAM,SO2,13,1
14/01/15,CHO,SO2,2,1
14/01/15,CUA,SO2,4,1
14/01/15,CUT,SO2,7,1
14/01/15,FAC,SO2,8,1
14/01/15,HGM,SO2,10,1
14/01/15,IZT,SO2,9,1
14/01/15,LLA,SO2,11,1
14/01/15,MER,SO2,10,1
14/01/15,NEZ,SO2,8,1
14/01/15,PED,SO2,6,1
14/01/15,SAG,SO2,11,1
14/01/15,SFE,SO2,3,1
14/01/15,SJA,SO2,9,1
14/01/15,TAH,SO2,4,1
14/01/15,TLA,SO2,15,1
14/01/15,TLI,SO2,15,1
14/01/15,TPN,SO2,3,1
14/01/15,UAX,SO2,6,1
14/01/15,UIZ,SO2,10,1
14/01/15,XAL,SO2,13,1
14/01/15,CCA,SO2,5,1
14/01/15,MGH,SO2,7,1
14/01/15,AJM,SO2,5,1
15/01/15,ACO,SO2,1,1
15/01/15,ATI,SO2,5,1
15/01/15,CAM,SO2,5,1
15/01/15,CHO,SO2,2,1
15/01/15,CUA,SO2,4,1
15/01/15,CUT,SO2,3,1
15/01/15,FAC,SO2,5,1
15/01/15,HGM,SO2,3,1
15/01/15,IZT,SO2,3,1
15/01/15,LLA,SO2,3,1
15/01/15,MER,SO2,4,1
15/01/15,NEZ,SO2,2,1
15/01/15,PED,SO2,4,1
15/01/15,SAG,SO2,3,1
15/01/15,SFE,SO2,4,1
15/01/15,SJA,SO2,4,1
15/01/15,TAH,SO2,2,1
15/01/15,TLA,SO2,6,1
15/01/15,TLI,SO2,4,1
15/01/15,TPN,SO2,2,1
15/01/15,UAX,SO2,2,1
15/01/15,UIZ,SO2,3,1
15/01/15,VIF,SO2,4,1
15/01/15,XAL,SO2,5,1
15/01/15,CCA,SO2,3,1
15/01/15,MGH,SO2,3,1
15/01/15,AJM,SO2,4,1
16/01/15,ACO,SO2,2,1
16/01/15,ATI,SO2,5,1
16/01/15,CAM,SO2,6,1
16/01/15,CHO,SO2,2,1
16/01/15,CUA,SO2,3,1
16/01/15,CUT,SO2,4,1
16/01/15,FAC,SO2,7,1
16/01/15,HGM,SO2,5,1
16/01/15,IZT,SO2,4,1
16/01/15,LLA,SO2,5,1
16/01/15,MER,SO2,5,1
16/01/15,NEZ,SO2,4,1
16/01/15,PED,SO2,4,1
16/01/15,SAG,SO2,4,1
16/01/15,SFE,SO2,3,1
16/01/15,SJA,SO2,5,1
16/01/15,SUR,SO2,3,1
16/01/15,TAH,SO2,3,1
16/01/15,TLA,SO2,7,1
16/01/15,TLI,SO2,7,1
16/01/15,TPN,SO2,2,1
16/01/15,UAX,SO2,3,1
16/01/15,UIZ,SO2,4,1
16/01/15,VIF,SO2,8,1
16/01/15,XAL,SO2,5,1
16/01/15,CCA,SO2,5,1
16/01/15,MGH,SO2,4,1
16/01/15,AJM,SO2,2,1
17/01/15,ACO,SO2,3,1
17/01/15,ATI,SO2,5,1
17/01/15,CAM,SO2,5,1
17/01/15,CHO,SO2,3,1
17/01/15,CUA,SO2,3,1
