"	date",id_station,id_parameter,value,unit
01/01/10,ACO,SO2,1,1
01/01/10,ATI,SO2,12,1
01/01/10,AZC,SO2,13,1
01/01/10,CES,SO2,6,1
01/01/10,FAC,SO2,8,1
01/01/10,IZT,SO2,11,1
01/01/10,LAG,SO2,6,1
01/01/10,LPR,SO2,7,1
01/01/10,LVI,SO2,3,1
01/01/10,MER,SO2,11,1
01/01/10,PED,SO2,5,1
01/01/10,PLA,SO2,7,1
01/01/10,SAG,SO2,9,1
01/01/10,SUR,SO2,8,1
01/01/10,TAC,SO2,9,1
01/01/10,TAH,SO2,3,1
01/01/10,TAX,SO2,6,1
01/01/10,TLA,SO2,18,1
01/01/10,TLI,SO2,22,1
01/01/10,UIZ,SO2,8,1
01/01/10,VAL,SO2,15,1
01/01/10,VIF,SO2,13,1
01/01/10,XAL,SO2,5,1
02/01/10,ACO,SO2,3,1
02/01/10,ATI,SO2,8,1
02/01/10,AZC,SO2,16,1
02/01/10,CES,SO2,9,1
02/01/10,FAC,SO2,7,1
02/01/10,IZT,SO2,15,1
02/01/10,LAG,SO2,9,1
02/01/10,LPR,SO2,16,1
02/01/10,LVI,SO2,4,1
02/01/10,MER,SO2,10,1
02/01/10,PED,SO2,5,1
02/01/10,PLA,SO2,9,1
02/01/10,SAG,SO2,15,1
02/01/10,SUR,SO2,6,1
02/01/10,TAC,SO2,13,1
02/01/10,TAH,SO2,2,1
02/01/10,TAX,SO2,8,1
02/01/10,TLA,SO2,19,1
02/01/10,TLI,SO2,51,1
02/01/10,UIZ,SO2,12,1
02/01/10,VAL,SO2,19,1
02/01/10,VIF,SO2,26,1
02/01/10,XAL,SO2,15,1
03/01/10,ACO,SO2,6,1
03/01/10,ATI,SO2,13,1
03/01/10,AZC,SO2,10,1
03/01/10,CES,SO2,7,1
03/01/10,FAC,SO2,11,1
03/01/10,IZT,SO2,9,1
03/01/10,LAG,SO2,7,1
03/01/10,LPR,SO2,6,1
03/01/10,LVI,SO2,2,1
03/01/10,MER,SO2,6,1
03/01/10,PED,SO2,6,1
03/01/10,PLA,SO2,9,1
03/01/10,SAG,SO2,3,1
03/01/10,SUR,SO2,3,1
03/01/10,TAC,SO2,10,1
03/01/10,TAH,SO2,4,1
03/01/10,TAX,SO2,5,1
03/01/10,TLA,SO2,12,1
03/01/10,TLI,SO2,9,1
