"	date",id_station,id_parameter,value,unit
01/01/21,ATI,SO2,1,1
01/01/21,CAM,SO2,1,1
01/01/21,MON,SO2,0,1
01/01/21,CUT,SO2,2,1
01/01/21,FAC,SO2,1,1
01/01/21,LPR,SO2,1,1
01/01/21,MER,SO2,3,1
01/01/21,NEZ,SO2,1,1
01/01/21,PED,SO2,0,1
01/01/21,SAG,SO2,2,1
01/01/21,SFE,SO2,1,1
01/01/21,TAH,SO2,1,1
01/01/21,TLA,SO2,2,1
01/01/21,UAX,SO2,1,1
01/01/21,UIZ,SO2,1,1
01/01/21,VIF,SO2,4,1
01/01/21,CCA,SO2,1,1
01/01/21,MGH,SO2,1,1
01/01/21,MPA,SO2,1,1
01/01/21,BJU,SO2,1,1
01/01/21,INN,SO2,0,1
01/01/21,FAR,SO2,0,1
01/01/21,SAC,SO2,1,1
02/01/21,ATI,SO2,6,1
02/01/21,CAM,SO2,2,1
02/01/21,MON,SO2,0,1
02/01/21,CUT,SO2,3,1
02/01/21,FAC,SO2,2,1
02/01/21,LPR,SO2,2,1
02/01/21,MER,SO2,2,1
02/01/21,NEZ,SO2,1,1
02/01/21,PED,SO2,0,1
02/01/21,SAG,SO2,1,1
02/01/21,SFE,SO2,0,1
02/01/21,TAH,SO2,1,1
02/01/21,TLA,SO2,4,1
02/01/21,UAX,SO2,1,1
02/01/21,UIZ,SO2,2,1
02/01/21,VIF,SO2,3,1
02/01/21,CCA,SO2,1,1
02/01/21,MGH,SO2,2,1
02/01/21,MPA,SO2,1,1
02/01/21,BJU,SO2,1,1
02/01/21,INN,SO2,1,1
02/01/21,FAR,SO2,1,1
02/01/21,SAC,SO2,2,1
03/01/21,ATI,SO2,3,1
03/01/21,CAM,SO2,2,1
03/01/21,MON,SO2,0,1
03/01/21,CUT,SO2,3,1
03/01/21,FAC,SO2,2,1
03/01/21,LPR,SO2,2,1
03/01/21,MER,SO2,2,1
03/01/21,NEZ,SO2,1,1
03/01/21,PED,SO2,0,1
03/01/21,SAG,SO2,1,1
03/01/21,SFE,SO2,1,1
03/01/21,TAH,SO2,1,1
03/01/21,TLA,SO2,4,1
03/01/21,UAX,SO2,1,1
03/01/21,UIZ,SO2,1,1
03/01/21,VIF,SO2,6,1
03/01/21,CCA,SO2,1,1
03/01/21,MGH,SO2,2,1
03/01/21,MPA,SO2,1,1
03/01/21,BJU,SO2,1,1
03/01/21,INN,SO2,1,1
03/01/21,FAR,SO2,0,1
03/01/21,SAC,SO2,1,1
04/01/21,ATI,SO2,5,1
04/01/21,CAM,SO2,4,1
04/01/21,MON,SO2,1,1
04/01/21,CUT,SO2,5,1
04/01/21,FAC,SO2,5,1
04/01/21,LPR,SO2,4,1
04/01/21,MER,SO2,3,1
04/01/21,NEZ,SO2,2,1
04/01/21,PED,SO2,4,1
04/01/21,SAG,SO2,2,1
04/01/21,SFE,SO2,4,1
04/01/21,TAH,SO2,2,1
04/01/21,TLA,SO2,6,1
04/01/21,UAX,SO2,2,1
04/01/21,UIZ,SO2,2,1
04/01/21,VIF,SO2,4,1
04/01/21,CCA,SO2,5,1
04/01/21,MGH,SO2,6,1
04/01/21,BJU,SO2,3,1
04/01/21,INN,SO2,2,1
04/01/21,FAR,SO2,1,1
04/01/21,SAC,SO2,2,1
05/01/21,ATI,SO2,9,1
05/01/21,CAM,SO2,8,1
05/01/21,MON,SO2,4,1
05/01/21,CUT,SO2,9,1
05/01/21,FAC,SO2,8,1
05/01/21,LPR,SO2,6,1
05/01/21,MER,SO2,7,1
05/01/21,NEZ,SO2,5,1
05/01/21,PED,SO2,2,1
05/01/21,SAG,SO2,6,1
05/01/21,SFE,SO2,2,1
05/01/21,TAH,SO2,3,1
05/01/21,TLA,SO2,10,1
05/01/21,UAX,SO2,2,1
05/01/21,UIZ,SO2,4,1
05/01/21,VIF,SO2,9,1
05/01/21,CCA,SO2,3,1
05/01/21,MGH,SO2,7,1
05/01/21,MPA,SO2,3,1
05/01/21,BJU,SO2,5,1
05/01/21,INN,SO2,2,1
05/01/21,FAR,SO2,4,1
05/01/21,SAC,SO2,4,1
06/01/21,ATI,SO2,3,1
06/01/21,CAM,SO2,4,1
06/01/21,MON,SO2,1,1
06/01/21,CUT,SO2,5,1
06/01/21,FAC,SO2,3,1
06/01/21,LPR,SO2,4,1
06/01/21,MER,SO2,4,1
06/01/21,NEZ,SO2,2,1
06/01/21,PED,SO2,1,1
06/01/21,SAG,SO2,4,1
06/01/21,SFE,SO2,2,1
06/01/21,TAH,SO2,1,1
06/01/21,TLA,SO2,6,1
06/01/21,UAX,SO2,1,1
06/01/21,UIZ,SO2,2,1
06/01/21,VIF,SO2,12,1
06/01/21,CCA,SO2,2,1
06/01/21,MGH,SO2,3,1
06/01/21,MPA,SO2,1,1
06/01/21,BJU,SO2,2,1
06/01/21,INN,SO2,1,1
06/01/21,FAR,SO2,2,1
06/01/21,SAC,SO2,2,1
07/01/21,ATI,SO2,11,1
07/01/21,CAM,SO2,8,1
07/01/21,MON,SO2,1,1
07/01/21,CUT,SO2,5,1
07/01/21,FAC,SO2,14,1
07/01/21,LPR,SO2,6,1
07/01/21,MER,SO2,7,1
07/01/21,NEZ,SO2,3,1
07/01/21,PED,SO2,6,1
07/01/21,SAG,SO2,4,1
07/01/21,SFE,SO2,6,1
07/01/21,TAH,SO2,3,1
07/01/21,TLA,SO2,11,1
07/01/21,UAX,SO2,3,1
07/01/21,UIZ,SO2,3,1
07/01/21,VIF,SO2,10,1
07/01/21,CCA,SO2,9,1
07/01/21,MGH,SO2,13,1
07/01/21,MPA,SO2,3,1
07/01/21,BJU,SO2,11,1
07/01/21,INN,SO2,1,1
07/01/21,FAR,SO2,2,1
07/01/21,SAC,SO2,2,1
08/01/21,ATI,SO2,6,1
08/01/21,CAM,SO2,3,1
08/01/21,MON,SO2,3,1
08/01/21,CUT,SO2,6,1
08/01/21,FAC,SO2,4,1
08/01/21,LPR,SO2,4,1
08/01/21,MER,SO2,4,1
08/01/21,NEZ,SO2,3,1
08/01/21,PED,SO2,2,1
08/01/21,SAG,SO2,3,1
08/01/21,SFE,SO2,4,1
08/01/21,TAH,SO2,4,1
08/01/21,TLA,SO2,6,1
08/01/21,UAX,SO2,3,1
08/01/21,UIZ,SO2,3,1
08/01/21,VIF,SO2,6,1
08/01/21,CCA,SO2,3,1
