"	date",id_station,id_parameter,value,unit
01/01/19,ACO,SO2,2,1
01/01/19,ATI,SO2,9,1
01/01/19,CAM,SO2,8,1
01/01/19,MON,SO2,2,1
01/01/19,CHO,SO2,2,1
01/01/19,CUA,SO2,5,1
01/01/19,CUT,SO2,11,1
01/01/19,HGM,SO2,8,1
01/01/19,IZT,SO2,5,1
01/01/19,LLA,SO2,5,1
01/01/19,LPR,SO2,3,1
01/01/19,MER,SO2,7,1
01/01/19,NEZ,SO2,4,1
01/01/19,PED,SO2,2,1
01/01/19,SAG,SO2,5,1
01/01/19,SFE,SO2,3,1
01/01/19,TAH,SO2,1,1
01/01/19,TLA,SO2,11,1
01/01/19,UAX,SO2,2,1
01/01/19,UIZ,SO2,3,1
01/01/19,VIF,SO2,8,1
01/01/19,XAL,SO2,4,1
01/01/19,CCA,SO2,3,1
01/01/19,MGH,SO2,7,1
01/01/19,AJM,SO2,3,1
01/01/19,MPA,SO2,1,1
01/01/19,BJU,SO2,4,1
01/01/19,INN,SO2,2,1
02/01/19,ACO,SO2,2,1
02/01/19,ATI,SO2,6,1
02/01/19,CAM,SO2,9,1
02/01/19,MON,SO2,1,1
02/01/19,CHO,SO2,1,1
02/01/19,CUA,SO2,4,1
02/01/19,CUT,SO2,8,1
02/01/19,HGM,SO2,8,1
02/01/19,IZT,SO2,6,1
02/01/19,LLA,SO2,19,1
02/01/19,LPR,SO2,8,1
02/01/19,MER,SO2,10,1
02/01/19,NEZ,SO2,7,1
02/01/19,PED,SO2,4,1
02/01/19,SAG,SO2,16,1
02/01/19,SFE,SO2,3,1
02/01/19,TAH,SO2,2,1
02/01/19,TLA,SO2,10,1
02/01/19,UAX,SO2,3,1
02/01/19,UIZ,SO2,4,1
02/01/19,VIF,SO2,36,1
02/01/19,XAL,SO2,11,1
02/01/19,CCA,SO2,4,1
02/01/19,MGH,SO2,5,1
02/01/19,AJM,SO2,5,1
02/01/19,MPA,SO2,3,1
02/01/19,BJU,SO2,4,1
02/01/19,INN,SO2,2,1
03/01/19,ACO,SO2,2,1
03/01/19,ATI,SO2,7,1
03/01/19,CAM,SO2,5,1
03/01/19,MON,SO2,1,1
03/01/19,CHO,SO2,2,1
03/01/19,CUA,SO2,7,1
03/01/19,CUT,SO2,8,1
03/01/19,FAC,SO2,5,1
03/01/19,HGM,SO2,2,1
03/01/19,IZT,SO2,3,1
03/01/19,LLA,SO2,3,1
03/01/19,LPR,SO2,5,1
03/01/19,MER,SO2,5,1
03/01/19,NEZ,SO2,3,1
03/01/19,PED,SO2,4,1
03/01/19,SAG,SO2,5,1
03/01/19,SFE,SO2,7,1
03/01/19,TAH,SO2,2,1
03/01/19,TLA,SO2,7,1
03/01/19,UAX,SO2,2,1
03/01/19,UIZ,SO2,3,1
03/01/19,VIF,SO2,6,1
03/01/19,XAL,SO2,6,1
03/01/19,CCA,SO2,4,1
03/01/19,MGH,SO2,5,1
03/01/19,AJM,SO2,13,1
03/01/19,MPA,SO2,5,1
03/01/19,BJU,SO2,2,1
03/01/19,INN,SO2,2,1
04/01/19,ACO,SO2,2,1
04/01/19,ATI,SO2,10,1
04/01/19,MON,SO2,1,1
04/01/19,CHO,SO2,1,1
04/01/19,CUA,SO2,6,1
04/01/19,CUT,SO2,7,1
04/01/19,FAC,SO2,8,1
04/01/19,HGM,SO2,2,1
04/01/19,IZT,SO2,2,1
04/01/19,LLA,SO2,4,1
04/01/19,LPR,SO2,3,1
04/01/19,MER,SO2,4,1
04/01/19,NEZ,SO2,2,1
04/01/19,PED,SO2,2,1
04/01/19,SAG,SO2,5,1
04/01/19,SFE,SO2,5,1
04/01/19,TAH,SO2,1,1
04/01/19,TLA,SO2,9,1
04/01/19,UAX,SO2,1,1
04/01/19,UIZ,SO2,2,1
04/01/19,VIF,SO2,6,1
04/01/19,XAL,SO2,6,1
04/01/19,CCA,SO2,3,1
04/01/19,MGH,SO2,4,1
04/01/19,AJM,SO2,4,1
04/01/19,MPA,SO2,0,1
04/01/19,BJU,SO2,2,1
04/01/19,INN,SO2,2,1
05/01/19,ACO,SO2,3,1
05/01/19,ATI,SO2,6,1
05/01/19,CAM,SO2,6,1
05/01/19,MON,SO2,3,1
05/01/19,CHO,SO2,3,1
05/01/19,CUA,SO2,7,1
05/01/19,CUT,SO2,6,1
05/01/19,FAC,SO2,7,1
05/01/19,HGM,SO2,8,1
05/01/19,IZT,SO2,6,1
05/01/19,LLA,SO2,8,1
05/01/19,LPR,SO2,4,1
05/01/19,MER,SO2,9,1
05/01/19,NEZ,SO2,5,1
05/01/19,PED,SO2,5,1
05/01/19,SFE,SO2,6,1
05/01/19,TAH,SO2,3,1
05/01/19,TLA,SO2,8,1
05/01/19,UAX,SO2,4,1
05/01/19,UIZ,SO2,6,1
05/01/19,VIF,SO2,8,1
05/01/19,XAL,SO2,8,1
05/01/19,CCA,SO2,5,1
05/01/19,MGH,SO2,6,1
05/01/19,AJM,SO2,5,1
05/01/19,MPA,SO2,2,1
05/01/19,BJU,SO2,4,1
05/01/19,INN,SO2,5,1
06/01/19,ACO,SO2,3,1
06/01/19,ATI,SO2,6,1
06/01/19,CAM,SO2,6,1
06/01/19,MON,SO2,2,1
06/01/19,CHO,SO2,2,1
06/01/19,CUA,SO2,6,1
06/01/19,CUT,SO2,6,1
06/01/19,FAC,SO2,5,1
06/01/19,HGM,SO2,5,1
06/01/19,IZT,SO2,5,1
06/01/19,LLA,SO2,4,1
06/01/19,LPR,SO2,4,1
06/01/19,MER,SO2,6,1
06/01/19,NEZ,SO2,3,1
06/01/19,PED,SO2,4,1
06/01/19,SAG,SO2,5,1
06/01/19,SFE,SO2,5,1
06/01/19,TAH,SO2,3,1
06/01/19,TLA,SO2,7,1
06/01/19,UAX,SO2,3,1
06/01/19,UIZ,SO2,4,1
06/01/19,VIF,SO2,5,1
06/01/19,XAL,SO2,5,1
06/01/19,CCA,SO2,5,1
06/01/19,MGH,SO2,6,1
06/01/19,AJM,SO2,5,1
06/01/19,MPA,SO2,2,1
06/01/19,BJU,SO2,3,1
06/01/19,INN,SO2,5,1
07/01/19,ACO,SO2,2,1
07/01/19,ATI,SO2,4,1
07/01/19,CAM,SO2,4,1
07/01/19,MON,SO2,2,1
07/01/19,CHO,SO2,2,1
07/01/19,CUA,SO2,3,1
07/01/19,FAC,SO2,4,1
07/01/19,HGM,SO2,3,1
07/01/19,IZT,SO2,3,1
07/01/19,LLA,SO2,4,1
07/01/19,LPR,SO2,3,1
